Id.de Torneo;Nombre Torneo;Categoria;Sexo;Fecha Torneo;Club1;Club2;Fase;Categ.;Par;Pais1;Pais2;Jugador 1 Race.Apellidos;Jugador 1 Race.Nombre;Jugador 2 Race.Apellidos;Jugador 2 Race.Nombre;Jugador 3 Race.Nombre;Jugador 3 Race.Apellidos;Jugador 4 Race.Nombre;Jugador 4 Race.Apellidos;Set-1-P1;Set-1-P2;Set-2-P1;Set-2-P2;Set-3-P1;Set-3-P2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Leal Pérez;Francisco Javier;Goenaga García;Enrique;Diego;Gil Batista;Fran;Ramírez Navas;5;7;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Suescún;Nicolás;San Román Gomendio;Pedro;Pablo José;Díaz Romero;Jairo José;Bautista Ortiz;6;7;6;4;4;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Viuda Hernández;Alfonso;Sánchez Arriaga;Alfonso;Pedro;Vera Castillo;Jesús;Moya Sos;7;6;6;3;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Quílez Palleja;Marc;Mercadal Berenguer;Adriá;Ricardo;Martins;David Antolín;Solla;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Mena Gil;Víctor Manuel;Sierra Morales;Julio;Manuel;Rocafort ;Simon;Vasquez;2;6;3;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Luna Peinado;Daniel;Mora Íscar;Carlos;Martín;Andornino;Mario;Cerezo Casado;4;6;6;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Díaz García;Raúl;García Rodrigo;Pablo;Teodoro Víctor;Zapata Pizarro;José Carlos;Gaspar Campos;6;3;2;6;1;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Ayats Delgado;Arnau;Germán Gutiérrez;Cristian;Cándido Jorge;Alfaro;Daniel;Avilés Cayuela;6;3;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Bressel Ambrossi;Daniel;Marqués Berdonce;Adrián;Álvaro;Cañasveras Boza;Jesús;Ruiz Bohórquez;6;2;6;4;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Meléndez Amaya;Álvaro;Espejo Sánchez;Jesús;José Luis;González Rodríguez;Miguel;Benítez Lara;3;6;6;0;3;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Señorán Frutuoso;Jorge;Pozo Carballo;Luis;Facundo;Domínguez;Vasco;Pascoal;0;6;5;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Tison;Benjamin;Scatena;Jeremy;Javier;de Paiz Ferrer;Bastien;Blanque;3;6;4;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Pérez Cabeza;Carlos;Bravo Álvarez;Javier;Maxime;Moreau;Pablo;Acevedo Iturribarria;6;1;3;6;6;2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Jurado Sosa;Francisco;Menéndez Gil;Jaime;Boris;Castro García;Daniel;de Castro Bautista;6;2;6;2;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Muñoz Enrile;Jaime;García Mora;Javier;Eduardo;Alonso Chillarón;Miguel;González García;6;4;7;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO8PP;Gold;2;;;Icardo Alcorisa;Sergio;Benavides Ponce de León;José María;Diego;Gil Batista;Fran;Ramírez Navas;3;6;6;4;3;6
