International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43640;960;;-40
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43646;1050;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43647;1000;;-50
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43654;930;;-70
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43660;1020;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43688;1060;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43689;1020;;-40
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43703;930;;-90
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43716;1000;70;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43717;910;;-90
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43731;1020;110;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43731;950;;-70
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43738;910;;-40
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43751;1000;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43765;1025;25;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43766;985;;-40
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43772;1075;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43786;1115;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43794;1075;;-40
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43856;1081;6;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43898;1231;150;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43913;1081;;-150
