FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Maarsen;Uriël;Verhagen;Miquel;Bye;Bye;Bye;Bye;2;6;0;6;0;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Thiele;Benjamin;Schneider;Robert;Diehl;Gerhard;Kölling;Tim;2;2;6;2;6;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Hillbricht;Alexander;Ahrens;Jasper;Vian Reyes;David;Lewen;Stephan;2;7;5;6;4;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Bye;Bye;Bye;Bye;Meléndez Núñez;Gabriel;González Teruel;Roberto;2;0;6;0;6;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Reissig;Sven;Sosna;Klaus;Barragana;Mateus;Pieterse;Christiaan;2;0;6;0;6;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Schmidt;Stefan;Plehm;Michael;Menéndez Alonso;Jonathan;Witt;Alejandro;2;6;2;6;2;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Heininger;Nils;Sell;Christopher;Ravelo;Jaime;Hevroni;Amit;2;6;2;6;1;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO8;Gold;2;Bye;Bye;Bye;Bye;González Serrano;Francisco;Quesada Hernández;Juan Fernando;2;0;6;0;6;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO4;Gold;2;Maarsen;Uriël;Verhagen;Miquel;Diehl;Gerhard;Kölling;Tim;2;6;1;6;0;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO4;Gold;2;Hillbricht;Alexander;Ahrens;Jasper;Meléndez Núñez;Gabriel;González Teruel;Roberto;2;6;3;7;5;;;;
FIP 100 III Berlin Padel Open;GPS-1200;MO;07/05/2017;;;KO4;Gold;2;Barragana;Mateus;Pieterse;Christiaan;Schmidt;Stefan;Plehm;Michael;2;6;3;6;0;;;;
